Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"1968","Ski Jumping Men large hill individual","Vladimir Belousov","Soviet Union","Ji__ Ra_ka","Czechoslovakia","Lars Grini","Norway"
"1968","Ski Jumping Men normal hill individual","Ji__ Ra_ka","Czechoslovakia","Reinhold Bachler","Austria","Baldur Preiml","Austria"
"1968","Speed Skating Men 10000 metres","Johnny H_glin","Sweden","Fred Anton Maier","Norway","_rjan Sandler","Sweden"
"1968","Speed Skating Men 1500 metres","Kees Verkerk","Netherlands","['Ivar Eriksen', 'Ard Schenk']","['Norway', 'Netherlands']",,
"1968","Speed Skating Men 500 metres","Erhard Keller","West Germany","['Terry McDermott', 'Magne Thomassen']","['United States', 'Norway']",,
"1968","Speed Skating Men 5000 metres","Fred Anton Maier","Norway","Kees Verkerk","Netherlands","Peter Nottet","Netherlands"
"1968","Speed Skating Women 1000 metres","Carry Geijssen","Netherlands","Lyudmila Titova","Soviet Union","Dianne Holum","United States"
"1968","Speed Skating Women 1500 metres","Kaija Mustonen","Finland","Carry Geijssen","Netherlands","Stien Baas-Kaiser","Netherlands"
"1968","Speed Skating Women 3000 metres","Ans Schut","Netherlands","Kaija Mustonen","Finland","Stien Baas-Kaiser","Netherlands"
"1968","Speed Skating Women 500 metres","Lyudmila Titova","Soviet Union","['Jenny Fish', 'Dianne Holum', 'Mary Meyers']","['United States', 'United States', 'United States']",,
"1968","Swimming Men 100 metres backstroke","Roland Matthes","East Germany","Charlie Hickcox","United States","Ronnie Mills","United States"
"1968","Swimming Men 100 metres breaststroke","Don McKenzie","United States","Vladimir Kosinsky","Soviet Union","Nikolay Pankin","Soviet Union"
"1968","Swimming Men 100 metres butterfly","Doug Russell","United States","Mark Spitz","United States","Ross Wales","United States"
"1968","Swimming Men 100 metres freestyle","Mike Wenden","Australia","Ken Walsh","United States","Mark Spitz","United States"
"1968","Swimming Men 1500 metres freestyle","Mike Burton","United States","John Kinsella","United States","Greg Brough","Australia"
"1968","Swimming Men 200 metres backstroke","Roland Matthes","East Germany","Mitch Ivey","United States","Jack Horsley","United States"
"1968","Swimming Men 200 metres breaststroke","Felipe Mu_oz","Mexico","Vladimir Kosinsky","Soviet Union","Brian Job","United States"
"1968","Swimming Men 200 metres butterfly","Carl Robie","United States","Martyn Woodroffe","Great Britain","John Ferris","United States"
"1968","Swimming Men 200 metres freestyle","Mike Wenden","Australia","Don Schollander","United States","John Nelson","United States"
"1968","Swimming Men 200 metres individual medley","Charlie Hickcox","United States","Greg Buckingham","United States","John Ferris","United States"
"1968","Swimming Men 4 x 100 metres freestyle relay","United States","United States","Soviet Union","Soviet Union","Australia","Australia"
"1968","Swimming Men 4 x 100 metres medley relay","United States","United States","East Germany","East Germany","Soviet Union","Soviet Union"
"1968","Swimming Men 4 x 200 metres freestyle relay","United States","United States","Australia","Australia","Soviet Union","Soviet Union"
"1968","Swimming Men 400 metres freestyle","Mike Burton","United States","Ralph Hutton","Canada","Alain Mosconi","France"
"1968","Swimming Men 400 metres individual medley","Charlie Hickcox","United States","Gary Hall","United States","Mike Holthaus","West Germany"
"1968","Swimming Women 100 metres backstroke","Kaye Hall","United States","Elaine Tanner","Canada","Jane Swagerty","United States"
"1968","Swimming Women 100 metres breaststroke","_ur_ica Bjedov","Yugoslavia","Halyna Prozumenshchykova-Stepanova","Soviet Union","Sharon Wichman","United States"
"1968","Swimming Women 100 metres butterfly","Lyn McClements","Australia","Ellie Daniel","United States","Susan Shields","United States"
"1968","Swimming Women 100 metres freestyle","Jan Henne","United States","Sue Pedersen","United States","Linda Gustavson","United States"
"1968","Swimming Women 200 metres backstroke","Pokey Watson","United States","Elaine Tanner","Canada","Kaye Hall","United States"
"1968","Swimming Women 200 metres breaststroke","Sharon Wichman","United States","_ur_ica Bjedov","Yugoslavia","Halyna Prozumenshchykova-Stepanova","Soviet Union"
"1968","Swimming Women 200 metres butterfly","Ada Kok","Netherlands","Helga Lindner","East Germany","Ellie Daniel","United States"
"1968","Swimming Women 200 metres freestyle","Debbie Meyer","United States","Jan Henne","United States","Jane Barkman","United States"
"1968","Swimming Women 200 metres individual medley","Claudia Kolb","United States","Sue Pedersen","United States","Jan Henne","United States"
"1968","Swimming Women 4 x 100 metres freestyle relay","United States","United States","East Germany","East Germany","Canada","Canada"
"1968","Swimming Women 4 x 100 metres medley relay","United States","United States","Australia","Australia","West Germany","West Germany"
"1968","Swimming Women 400 metres freestyle","Debbie Meyer","United States","Linda Gustavson","United States","Karen Moras","Australia"
"1968","Swimming Women 400 metres individual medley","Claudia Kolb","United States","Lynn Vidali","United States","Sabine Steinbach","East Germany"
"1968","Swimming Women 800 metres freestyle","Debbie Meyer","United States","Pam Kruse","United States","Mar_a Teresa Ram_rez","Mexico"
"1968","Volleyball Men volleyball","Soviet Union","Soviet Union","Japan","Japan","Czechoslovakia","Czechoslovakia"
"1968","Volleyball Women volleyball","Soviet Union","Soviet Union","Japan","Japan","Poland","Poland"
"1968","Water Polo Men water polo","Yugoslavia","Yugoslavia","Soviet Union","Soviet Union","Hungary","Hungary"
"1968","Weightlifting Men bantamweight","Mohammad Nassiri","Iran","Imre F_ldi","Hungary","Henryk Tr_bicki","Poland"
"1968","Weightlifting Men featherweight","Yoshinobu Miyake","Japan","Dito Shanidze","Soviet Union","Yoshiyuki Miyake","Japan"
"1968","Weightlifting Men heavyweight","Leonid Zhabotynskiy","Soviet Union","Serge Reding","Belgium","Joe Dube","United States"
"1968","Weightlifting Men light heavyweight","Boris Selitsky","Soviet Union","Volodymyr Bieliaiev","Soviet Union","Norbert Ozimek","Poland"
"1968","Weightlifting Men lightweight","Waldemar Baszanowski","Poland","Parviz Jalayer","Iran","Marian Zieli_ski","Poland"
"1968","Weightlifting Men middle heavyweight","Kaarlo Kangasniemi","Finland","Jaan Talts","Soviet Union","Marek Go__b","Poland"
"1968","Weightlifting Men middleweight","Viktor Kurentsov","Soviet Union","Masashi Ohuchi","Japan","K_roly Bakos","Hungary"
"1968","Wrestling Men bantamweight freestyle","Yojiro Uetake","Japan","Don Behm","United States","Abutaleb Talebi","Iran"
"1968","Wrestling Men bantamweight greco roman","J_nos Varga","Hungary","Ion Baciu","Romania","Ivan Kochergin","Soviet Union"
"1968","Wrestling Men featherweight freestyle","Masaaki Kaneko","Japan","Enyu Todorov","Bulgaria","Shamseddin Seyyed Abbasi","Iran"
"1968","Wrestling Men featherweight greco roman","Roman Rurua","Soviet Union","Hideo Fujimoto","Japan","Simion Popescu","Romania"
"1968","Wrestling Men flyweight freestyle","Shigeo Nakata","Japan","Rich Sanders","United States","Chimedbazaryn Damdinsharav","Mongolia"
"1968","Wrestling Men flyweight greco roman","Petar Kirov","Bulgaria","Vladimir Bakulin","Soviet Union","Miroslav Zeman","Czechoslovakia"
"1968","Wrestling Men heavyweight freestyle","Aleksandr Medved","Soviet Union","Osman Duraliev","Bulgaria","Wilfried Dietrich","West Germany"
"1968","Wrestling Men heavyweight greco roman","Istv_n Kozma","Hungary","Anatoly Roshchin","Soviet Union","Petr Kment","Czechoslovakia"
"1968","Wrestling Men light heavyweight freestyle","Ahmet Ay_k","Turkey","Shota Lomidze","Soviet Union","J_zsef Csat_ri","Hungary"
"1968","Wrestling Men light heavyweight greco roman","Boyan Radev","Bulgaria","Nikolay Yakovenko","Soviet Union","Nicolae Martinescu","Romania"
"1968","Wrestling Men lightweight freestyle","Abdullah Movahed","Iran","Enyu Valchev","Bulgaria","Danzandarjaagiin Sereeter","Mongolia"
"1968","Wrestling Men lightweight greco roman","Munji Munemura","Japan","Stevan Horvat","Yugoslavia","Petros Galaktopoulos","Greece"
"1968","Wrestling Men middleweight freestyle","Borys Hurevych","Soviet Union","Jigjidiin M_nkhbat","Mongolia","Prodan Gardzhev","Bulgaria"
"1968","Wrestling Men middleweight greco roman","Lothar Metz","East Germany","Valentin Olenik","Soviet Union","Branislav Simi_","Yugoslavia"
"1968","Wrestling Men welterweight freestyle","Mahmut Atalay","Turkey","Daniel Robin","France","T_m_riin Artag","Mongolia"
"1968","Wrestling Men welterweight greco roman","Rudolf Vesper","East Germany","Daniel Robin","France","K_roly Bajk_","Hungary"
"1964","Alpine Skiing Men downhill","Egon Zimmermann","Austria","L_o Lacroix","France","Wolfgang Bartels","Germany"
"1964","Alpine Skiing Men giant slalom","Fran_ois Bonlieu","France","Karl Schranz","Austria","Pepi Stiegler","Austria"
"1964","Alpine Skiing Men slalom","Pepi Stiegler","Austria","Billy Kidd","United States","Jimmy Heuga","United States"
"1964","Alpine Skiing Women downhill","Christl Haas","Austria","Edith Zimmermann","Austria","Traudl Hecher","Austria"
"1964","Alpine Skiing Women giant slalom","Marielle Goitschel","France","['Christine Goitschel', 'Jean Saubert']","['France', 'United States']",,
"1964","Alpine Skiing Women slalom","Christine Goitschel","France","Marielle Goitschel","France","Jean Saubert","United States"
"1964","Athletics Men 100 metres","Bob Hayes","United States","Enrique Figuerola","Cuba","Harry Jerome","Canada"
"1964","Athletics Men 10000 metres","Billy Mills","United States","Mohamad Gammoudi","Tunisia","Ron Clarke","Australia"
"1964","Athletics Men 110 metres hurdles","Hayes Jones","United States","Blaine Lindgren","United States","Anatoly Mikhaylov","Soviet Union"
"1964","Athletics Men 1500 metres","Peter Snell","New Zealand","Josef Odlo_il","Czechoslovakia","John Davies","New Zealand"
"1964","Athletics Men 20 kilometres walk","Ken Matthews","Great Britain","Dieter Lindner","Germany","Volodymyr Holubnychiy","Soviet Union"
"1964","Athletics Men 200 metres","Henry Carr","United States","Paul Drayton","United States","Edwin Roberts","Trinidad and Tobago"
"1964","Athletics Men 3000 metres steeplechase","Gaston Roelants","Belgium","Maurice Herriott","Great Britain","Ivan Bieliaiev","Soviet Union"
"1964","Athletics Men 4 x 100 metres relay","United States","United States","Poland","Poland","France","France"
