Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"2002","Skeleton Women skeleton","Tristan Gale","United States","Lea Ann Parsley","United States","Alex Coomber","Great Britain"
"2002","Ski Jumping Men large hill individual","Simon Ammann","Switzerland","Adam Ma_ysz","Poland","Matti Hautam_ki","Finland"
"2002","Ski Jumping Men large hill team","Germany","Germany","Finland","Finland","Slovenia","Slovenia"
"2002","Ski Jumping Men normal hill individual","Simon Ammann","Switzerland","Sven Hannawald","Germany","Adam Ma_ysz","Poland"
"2002","Snowboarding Men halfpipe","Ross Powers","United States","Danny Kass","United States","JJ Thomas","United States"
"2002","Snowboarding Men parallel giant slalom","Philipp Schoch","Switzerland","Richard Richardsson","Sweden","Chris Klug","United States"
"2002","Snowboarding Women halfpipe","Kelly Clark","United States","Doriane Vidal","France","Fabienne Reuteler","Switzerland"
"2002","Snowboarding Women parallel giant slalom","Isabelle Blanc","France","Karine Ruby","France","Lidia Trettel","Italy"
"2002","Speed Skating Men 1000 metres","Gerard van Velde","Netherlands","Jan Bos","Netherlands","Joey Cheek","United States"
"2002","Speed Skating Men 10000 metres","Jochem Uytdehaage","Netherlands","Gianni Romme","Netherlands","Lasse S_tre","Norway"
"2002","Speed Skating Men 1500 metres","Derek Parra","United States","Jochem Uytdehaage","Netherlands","_dne S_ndr_l","Norway"
"2002","Speed Skating Men 500 metres","Casey FitzRandolph","United States","Hiroyasu Shimizu","Japan","Kip Carpenter","United States"
"2002","Speed Skating Men 5000 metres","Jochem Uytdehaage","Netherlands","Derek Parra","United States","Jens Boden","Germany"
"2002","Speed Skating Women 1000 metres","Chris Witty","United States","Sabine V_lker","Germany","Jennifer Rodriguez","United States"
"2002","Speed Skating Women 1500 metres","Anni Friesinger-Postma","Germany","Sabine V_lker","Germany","Jennifer Rodriguez","United States"
"2002","Speed Skating Women 3000 metres","Claudia Pechstein","Germany","Renate Groenewold","Netherlands","Cindy Klassen","Canada"
"2002","Speed Skating Women 500 metres","Catriona Le May Doan","Canada","Monique Garbrecht-Enfeldt","Germany","Sabine V_lker","Germany"
"2002","Speed Skating Women 5000 metres","Claudia Pechstein","Germany","Gretha Smit","Netherlands","Clara Hughes","Canada"
"2000","Archery Men individual","Simon Fairweather","Australia","Vic Wunderle","United States","Wietse van Alten","Netherlands"
"2000","Archery Men team","South Korea","South Korea","Italy","Italy","United States","United States"
"2000","Archery Women individual","Yun Mi-Jin","South Korea","Kim Nam-Sun","South Korea","Kim Su-Nyeong","South Korea"
"2000","Archery Women team","South Korea","South Korea","Ukraine","Ukraine","Germany","Germany"
"2000","Athletics Men 100 metres","Maurice Greene","United States","Ato Boldon","Trinidad and Tobago","Obadele Thompson","Barbados"
"2000","Athletics Men 10000 metres","Haile Gebrselassie","Ethiopia","Paul Tergat","Kenya","Assefa Mezgebu","Ethiopia"
"2000","Athletics Men 110 metres hurdles","Anier Garc_a","Cuba","Terrence Trammell","United States","Mark Crear","United States"
"2000","Athletics Men 1500 metres","Noah Ngeny","Kenya","Hicham El Guerrouj","Morocco","Bernard Lagat","Kenya"
"2000","Athletics Men 20 kilometres walk","Robert Korzeniowski","Poland","No_ Hern_ndez","Mexico","Vladimir Andreyev","Russia"
"2000","Athletics Men 200 metres","Kostas Kenteris","Greece","Darren Campbell","Great Britain","Ato Boldon","Trinidad and Tobago"
"2000","Athletics Men 3000 metres steeplechase","Reuben Kosgei","Kenya","Wilson Boit Kipketer","Kenya","Ali Ezzine","Morocco"
"2000","Athletics Men 4 x 100 metres relay","United States","United States","Brazil","Brazil","Cuba","Cuba"
"2000","Athletics Men 4 x 400 metres relay","Nigeria","Nigeria","Jamaica","Jamaica","Bahamas","Bahamas"
"2000","Athletics Men 400 metres","Michael Johnson","United States","Alvin Harrison","United States","Greg Haughton","Jamaica"
"2000","Athletics Men 400 metres hurdles","Angelo Taylor","United States","Hadi Soua'an Al-Somaily","Saudi Arabia","Llewellyn Herbert","South Africa"
"2000","Athletics Men 50 kilometres walk","Robert Korzeniowski","Poland","Aigars Fadejevs","Latvia","Joel S_nchez","Mexico"
"2000","Athletics Men 5000 metres","Million Wolde","Ethiopia","Ali Sa_di-Sief","Algeria","Brahim Lahlafi","Morocco"
"2000","Athletics Men 800 metres","Nils Schumann","Germany","Wilson Kipketer","Denmark","Djabir Sa_d-Guerni","Algeria"
"2000","Athletics Men decathlon","Erki Nool","Estonia","Roman _ebrle","Czech Republic","Chris Huffins","United States"
"2000","Athletics Men discus throw","Virgilijus Alekna","Lithuania","Lars Riedel","Germany","Frantz Kruger","South Africa"
"2000","Athletics Men hammer throw","Szymon Zi__kowski","Poland","Nicola Vizzoni","Italy","Igor Astapkovich","Belarus"
"2000","Athletics Men high jump","Sergey Klyugin","Russia","Javier Sotomayor","Cuba","Abderrahmane Hammad","Algeria"
"2000","Athletics Men javelin throw","Jan _elezn_","Czech Republic","Steve Backley","Great Britain","Sergey Makarov","Russia"
"2000","Athletics Men long jump","Iv_n Pedroso","Cuba","Jai Taurima","Australia","Roman Shchurenko","Ukraine"
"2000","Athletics Men marathon","Gezahgne Abera","Ethiopia","Eric Wainaina","Kenya","Tesfaye Tola","Ethiopia"
"2000","Athletics Men pole vault","Nick Hysong","United States","Lawrence Johnson","United States","Maksim Tarasov","Russia"
"2000","Athletics Men shot put","Arsi Harju","Finland","Adam Nelson","United States","John Godina","United States"
"2000","Athletics Men triple jump","Jonathan Edwards","Great Britain","Yoel Garc_a","Cuba","Denis Kapustin","Russia"
"2000","Athletics Women 100 metres",,,"['Aikaterini Thanou', 'Tayna Lawrence']","['Greece', 'Jamaica']","Merlene Ottey-Page","Jamaica"
"2000","Athletics Women 100 metres hurdles","Olga Shishigina","Kazakhstan","Glory Alozie","Nigeria","Melissa Morrison","United States"
"2000","Athletics Women 10000 metres","Derartu Tulu","Ethiopia","Gete Wami","Ethiopia","Fernanda Ribeiro","Portugal"
"2000","Athletics Women 1500 metres","Nouria M_rah-Benida","Algeria","Violeta Beclea-Szekely","Romania","Gabriela Szabo","Romania"
"2000","Athletics Women 20 kilometres walk","Wang Liping","China","Kjersti Tysse-Pl_tzer","Norway","Mar_a Vasc_","Spain"
"2000","Athletics Women 200 metres","Pauline Davis-Thompson","Bahamas","Susanthika Jayasinghe","Sri Lanka","Beverly McDonald","Jamaica"
"2000","Athletics Women 4 x 100 metres relay","Bahamas","Bahamas","Jamaica","Jamaica","United States","United States"
"2000","Athletics Women 4 x 400 metres relay","United States","United States","Jamaica","Jamaica","Russia","Russia"
"2000","Athletics Women 400 metres","Cathy Freeman","Australia","Lorraine Graham","Jamaica","Katharine Merry","Great Britain"
"2000","Athletics Women 400 metres hurdles","Irina Privalova","Russia","Deon Hemmings","Jamaica","Nezha Bidouane","Morocco"
"2000","Athletics Women 5000 metres","Gabriela Szabo","Romania","Sonia O'Sullivan","Ireland","Gete Wami","Ethiopia"
"2000","Athletics Women 800 metres","Maria Mutola","Mozambique","Steffi Graf","Austria","Kelly Holmes","Great Britain"
"2000","Athletics Women discus throw","Ellina Zvereva","Belarus","Anastasia Kelesidou","Greece","Irina Yatchenko","Belarus"
"2000","Athletics Women hammer throw","Kamila Skolimowska","Poland","Olga Kuzenkova","Russia","Kirsten M_nchow","Germany"
"2000","Athletics Women heptathlon","Denise Lewis","Great Britain","Yelena Prokhorova","Russia","Natasha Sazanovich","Belarus"
"2000","Athletics Women high jump","Yelena Yelesina","Russia","Hestrie Storbeck-Cloete","South Africa","['Oana Mu\xc5\x9funoi-Pantelimon', 'Kajsa Bergqvist']","['Romania', 'Sweden']"
"2000","Athletics Women javelin throw","Trine Solberg-Hattestad","Norway","Mirela Maniani-Tzelili","Greece","Osleidys Men_ndez","Cuba"
"2000","Athletics Women long jump","Heike Drechsler","Germany","Fiona May","Italy","Tatyana Kotova","Russia"
"2000","Athletics Women marathon","Naoko Takahashi","Japan","Lidia _imon","Romania","Joyce Chepchumba","Kenya"
"2000","Athletics Women pole vault","Stacy Dragila","United States","Tatiana Grigorieva","Australia","Vala Flosad_ttir","Iceland"
"2000","Athletics Women shot put","Yanina Provalinskaya-Karolchik","Belarus","Larisa Peleshenko","Russia","Astrid Kumbernuss","Germany"
"2000","Athletics Women triple jump","Tereza Marinova","Bulgaria","Tatyana Lebedeva","Russia","Olena Hovorova","Ukraine"
"2000","Badminton Men doubles","Indonesia","Indonesia","South Korea","South Korea","South Korea","South Korea"
"2000","Badminton Men singles","Ji Xinpeng","China","Hendrawan","Indonesia","Xia Xuanze","China"
"2000","Badminton Mixed doubles","China","China","Indonesia","Indonesia","Great Britain","Great Britain"
"2000","Badminton Women doubles","China","China","China","China","China","China"
"2000","Badminton Women singles","Gong Zhichao","China","Camilla Martin","Denmark","Ye Zhaoying","China"
"2000","Baseball Men baseball","United States","United States","Cuba","Cuba","South Korea","South Korea"
"2000","Basketball Men basketball","United States","United States","France","France","Lithuania","Lithuania"
"2000","Basketball Women basketball","United States","United States","Australia","Australia","Brazil","Brazil"
"2000","Beach Volleyball Men beach volleyball","United States","United States","Brazil","Brazil","Germany","Germany"
"2000","Beach Volleyball Women beach volleyball","Australia","Australia","Brazil","Brazil","Brazil","Brazil"
"2000","Boxing Men bantamweight","Guillermo Rigondeaux","Cuba","Raimkul Malakhbekov","Russia","['Serhiy Danylchenko', 'Clarence Vinson']","['Ukraine', 'United States']"
"2000","Boxing Men featherweight","Bekzat Sattarkhanov","Kazakhstan","Rocky Ju_rez","United States","['Tahar Tamsamani', 'Kamil Dzhamaludinov']","['Morocco', 'Russia']"
"2000","Boxing Men flyweight","Wijan Ponlid","Thailand","Bolat Zhumadilov","Kazakhstan","['J\xc3\xa9r\xc3\xb4me Thomas', 'Volodymyr Sydorenko']","['France', 'Ukraine']"
"2000","Boxing Men heavyweight","F_lix Sav_n","Cuba","Sultan-Akhmed Ibragimov","Russia","[""Vladimir Ch'ant'uria"", 'Sebastian K\xc3\xb6ber']","['Georgia', 'Germany']"
"2000","Boxing Men light flyweight","Brahim Asloum","France","Rafael Lozano","Spain","['Maikro Romero', 'Kim Un-Chol']","['Cuba', 'North Korea']"
"2000","Boxing Men light heavyweight","Aleksandr Lebzyak","Russia","Rudi Kraj","Czech Republic","['Andriy Fedchuk', 'Sergey Mikhaylov']","['Ukraine', 'Uzbekistan']"
"2000","Boxing Men light middleweight","Yermakhan Ibraimov","Kazakhstan","Marian Simion","Romania","['Pornchai Thongburan', 'Jermain Taylor']","['Thailand', 'United States']"
"2000","Boxing Men light welterweight","Mukhammad Kadyr Abdullayev","Uzbekistan","Ricardo Williams, Jr.","United States","['Mohamed Allalou', 'Di\xc3\xb3genes Lu\xc3\xb1a']","['Algeria', 'Cuba']"
"2000","Boxing Men lightweight","Mario Kindel_n","Cuba","Andriy Kotelnyk","Ukraine","['Cristian Bejarano', 'Aleksandr Maletin']","['Mexico', 'Russia']"
"2000","Boxing Men middleweight","Jorge Guti_rrez","Cuba","Gaydarbek Gaydarbekov","Russia","['Zsolt Erdei', 'V\xc3\xbcqar Mursal \xc6\x8fl\xc9\x99kb\xc9\x99rov']","['Hungary', 'Azerbaijan']"
"2000","Boxing Men super heavyweight","Audley Harrison","Great Britain","Mukhtarkhan Dildabekov","Kazakhstan","['Paolo Vidoz', 'Rustam Saidov']","['Italy', 'Uzbekistan']"
"2000","Boxing Men welterweight","Oleg Saitov","Russia","Serhiy Dotsenko","Ukraine","['Vitalie Gru\xc5\x9fac', 'Dorel Simion']","['Moldova', 'Romania']"
"2000","Canoeing Men canadian doubles 1000 metres","Romania","Romania","Cuba","Cuba","Germany","Germany"
"2000","Canoeing Men canadian doubles 500 metres","Hungary","Hungary","Poland","Poland","Romania","Romania"
"2000","Canoeing Men canadian doubles slalom","Slovakia","Slovakia","Poland","Poland","Czech Republic","Czech Republic"
"2000","Canoeing Men canadian singles 1000 metres","Andreas Dittmer","Germany","Ledys Balceiro","Cuba","Steve Giles","Canada"
"2000","Canoeing Men canadian singles 500 metres","Gy_rgy Kolonics","Hungary","Maksim Opalev","Russia","Andreas Dittmer","Germany"
"2000","Canoeing Men canadian singles slalom","Tony Estanguet","France","Michal Martik_n","Slovakia","Juraj Min__k","Slovakia"
"2000","Canoeing Men kayak doubles 1000 metres","Italy","Italy","Sweden","Sweden","Hungary","Hungary"
"2000","Canoeing Men kayak doubles 500 metres","Hungary","Hungary","Australia","Australia","Germany","Germany"
"2000","Canoeing Men kayak fours 1000 metres","Hungary","Hungary","Germany","Germany","Poland","Poland"
"2000","Canoeing Men kayak singles 1000 metres","Knut Holmann","Norway","Petar Merkov","Bulgaria","Tim Brabants","Great Britain"
"2000","Canoeing Men kayak singles 500 metres","Knut Holmann","Norway","Petar Merkov","Bulgaria","Michael Kolganov","Israel"
"2000","Canoeing Men kayak singles slalom","Thomas Schmidt","Germany","Paul Ratcliffe","Great Britain","Pierpaolo Ferrazzi","Italy"
"2000","Canoeing Women kayak doubles 500 metres","Germany","Germany","Hungary","Hungary","Poland","Poland"
"2000","Canoeing Women kayak fours 500 metres","Germany","Germany","Hungary","Hungary","Romania","Romania"
"2000","Canoeing Women kayak singles 500 metres","Josefa Idem-Guerrini","Italy","Caroline Brunet","Canada","Katrin Borchert","Australia"
"2000","Canoeing Women kayak singles slalom","_t_p_nka Hilgertov_","Czech Republic","Brigitte Guibal","France","Anne-Lise Bardet","France"
"2000","Cycling Men 1000 metres time trial","Jason Queally","Great Britain","Stefan Nimke","Germany","Shane Kelly","Australia"
"2000","Cycling Men individual pursuit 4000 metres","Robert Bartko","Germany","Jens Lehmann","Germany","Brad McGee","Australia"
"2000","Cycling Men individual time trial","Vyacheslav Yekimov","Russia","Jan Ullrich","Germany",,
"2000","Cycling Men keirin","Florian Rousseau","France","Gary Neiwand","Australia","Jens Fiedler","Germany"
"2000","Cycling Men madison","Australia","Australia","Belgium","Belgium","Italy","Italy"
"2000","Cycling Men mountainbike cross country","Miguel Martinez","France","Filip Meirhaeghe","Belgium","Christoph Sauser","Switzerland"
"2000","Cycling Men points race","Joan Llaneras","Spain","Milton Wynants","Uruguay","Aleksey Markov","Russia"
"2000","Cycling Men road race individual","Jan Ullrich","Germany","Aleksandr Vinokurov","Kazakhstan","Andreas Kl_den","Germany"
"2000","Cycling Men sprint","Marty Nothstein","United States","Florian Rousseau","France","Jens Fiedler","Germany"
"2000","Cycling Men team pursuit 4000 metres","Germany","Germany","Ukraine","Ukraine","Great Britain","Great Britain"
"2000","Cycling Men team sprint","France","France","Great Britain","Great Britain","Australia","Australia"
"2000","Cycling Women 500 metres time trial","F_licia Ballanger","France","Michelle Ferris","Australia","Jiang Cuihua","China"
"2000","Cycling Women individual pursuit 3000 metres","Leontien Zijlaard-van Moorsel","Netherlands","Marion Clignet","France","Yvonne McGregor","Great Britain"
"2000","Cycling Women individual time trial","Leontien Zijlaard-van Moorsel","Netherlands","Mari Holden","United States","Jeannie Longo-Ciprelli","France"
"2000","Cycling Women mountainbike cross country","Paola Pezzo","Italy","Barbara Blatter","Switzerland","Marga Fullana","Spain"
"2000","Cycling Women points race","Antonella Bellutti","Italy","Leontien Zijlaard-van Moorsel","Netherlands","Olga Slyusareva","Russia"
"2000","Cycling Women road race individual","Leontien Zijlaard-van Moorsel","Netherlands","Hanka Kupfernagel","Germany","Diana _ili_t_","Lithuania"
"2000","Cycling Women sprint","F_licia Ballanger","France","Oksana Grishina","Russia","Iryna Yanovych","Ukraine"
"2000","Diving Men platform","Tian Liang","China","Hu Jia","China","Dmitry Sautin","Russia"
"2000","Diving Men springboard","Xiong Ni","China","Fernando Platas","Mexico","Dmitry Sautin","Russia"
"2000","Diving Men synchronized platform","Russia","Russia","China","China","Germany","Germany"
"2000","Diving Men synchronized springboard","China","China","Russia","Russia","Australia","Australia"
"2000","Diving Women platform","Laura Wilkinson","United States","Li Na","China","Anne Montminy","Canada"
"2000","Diving Women springboard","Fu Mingxia","China","Guo Jingjing","China","D_rte Lindner","Germany"
"2000","Diving Women synchronized platform","China","China","Canada","Canada","Australia","Australia"
